product_brand,product_name,product_shade,product_price,review_text,review_id
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"cakep banget warnanya, bisa buat ombre, harganya juga murce abiss, cocok banget buat daily, dan harganya ramah di kantong. Pokoknya semua produk OMG bagus banguss gaiss mana murah banget kalian wajib beli ini sii, buat menambah koleksi lippies kalian",review_00021
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"Warnanya cocok untuk bibir gelap dan hasilnya pigmented. Teksturnya lembut, mudah diratakan, dan tidak membuat bibir kering. Namun, terkadang sedikit menempel di gigi. Ketahanannya cukup baik untuk ukuran lip cream dengan harga terjangkau. Ringan, nyaman dipakai seharian, dan cocok untuk remaja.",review_00022
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"OMG enggak pernah gagal, bagus banget sih lip cream matte ini, sudah upgrade juga ingredientnya, terus enggak bikin bibir kering, warna nya juga banyak banget bestie jadi kalian wajib mencoba ya bagi yang suka lip cream matte ini, harganya murah juga yuhuu",review_00023
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"Punya banyak shade OMG tapi ini favoritku, warnanya deep burgundy hint purple yang cantik banget, ng-enhance skintoneku enggak bikin washed out, super blendable enggak berat dibibir paling penting super affordable! enggak kecium wangi aneh aneh sih",review_00024
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"Masya Allah pakai produk OMG liptmate ini enak banget, ringan, mudah di aplikasi kan ke bibir, enggak bikin kering dibibir, enteng banget deh pokoknyaa, dan kalian segera mencoba deh enggak menyesal pokokyaa, produk murah kualitas enggak receh, kalian harus beli recommended top",review_00025
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"Warnanya asli cakep cakep dan cocok di skintone wanita Indonesia. Lumayan awet untuk harga yang sangat ramah dikantong mahasiswa, enggak bikin crack juga di bibir aku, pokoknya love banget deh, buat ombre juga cakep banget, sudah pakai beberapa shade jugak.",review_00026
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"Lipcreamyg teksturnya enggaa lengket di bibir, enggak bikin kering bibir, warnanya juga banyak, paling suka yang shade kewl, harganya juga affordable, deh restok sampai enggak tau berapa kali deh, luph banyak banyak sama somethinc ombrella lip cream ini",review_00027
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"Yang belum pernah coba lips pink boleh nih coba shade berrynya omg yang OMG warnanya cantik, soft, gampang di blend, sekali swatch warnanya merata, ada efek lembabnya di bibir. Sebelumnya aku pakai lips sejenis dari brand lain ternyata masih worth itu pakai mattelips nya omg apalagi harganya masih sangat sangat terjangkau. Sekarang lips under price 50k pun formulanya sudah pada bagus-bagus semua local brand pula :))",review_00028
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"Siapapun yang lagi cari Lip cream yang paling mantul,paling worth it, murah tapi enggak murahan cocok banget dibikin ombre kayak gimnapun.. teksturnya yang gampang banget di blend, bagus bagus banget shade nya lip cream OMG 🥰🥰 pleasee harus cobainn",review_00029
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"Another shades dari shades terbaru yang mereka launching yang aku berpikir enggak bakal suka eh tapi ternyata bikin aku jatuh cinta Tekstur: seperti lip cream pada umumnya Feels: ringan Transferproof: yes Shade: berry ini termasuk shade cool tone merah+pink+ungu agak deep dalam 1 shade. Cocok banget untuk dijadikan inner ombre. Kalau pecinta deep shade lip, kalian bisa banget mencoba shade Berry ini",review_00030
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"Warnanya cantik banget oyy. Di bibir rasa enggak berat sih dan pas di aplikasikan juga gampang banget packingnya juga oke. Cuma saran sih kalo pakai ini kalian sebelumnya pakai lip balm dulu diamkan beberapa menit habis itu hapus baru pakai ini biar bibir enggak kering"" Banget cuma kekurangan nya dia itu ada beberapa warna yang oksidasi tapi buat ombre best banget murce lagi ehe",review_00031
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"packagingnya bagus pol anti gelinding wkwk, shadenya beuh cakep parah dipakai sendiri atau buat inner ombre, apalagi kalau shade 24 sudah collab sama shade 22, pasti ditanyain sama teman ciwi ""pakai lipen apa kok bagus"" hasil ombrenya bikin segar cutie begitu haha ada hint ungunya, dia juga lembab dan enggak kering di bibir, awet juga tapi kalau dipakai makan makanan berminyak terus menerus ya bakal memudar hehe",review_00032
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"aku cocok banget pakai ini dan nyamann serta gampang di dapatkan dimna punn, melembabkan serta membuat mukanku lebih cerah mukaa ku letsgoo kalian cobainn a pakai ini juga selain itu di juga sangat melembabkan kulin dan cocok untuk berbagi kulit",review_00033
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"Biasanya aku tim beli lip cream yang merah, tapi akhirnya menemukan warna lip cream selain merah yang cocok dan itu ada di OMG suka banget deh.. Semoga ada promoan lagi beli produk ini. Ringat banget di bibir aku cuss belii",review_00034
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"lip cream paling nyaman dipakai sehari hari dan harganya murce banget, ini lip cream tapi reksturnya enak dan nyaman enggak ngecrack di bibir, yang ada dia menutupi garis garis bibir jadi ada efek blurringnya, warnanya juga cantik cantik banget",review_00035
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"Salah satu produk matte lip cream favorit aku sih,soalnyawarnanya cakep banget,teksturnya ringan,yang paling di suka juga aromanya wangi,soalnya ada beberapa merk yang aku enggak suka sama aromanya,dan harganya sangat murah tapi kualitas tidak murahan.",review_00036
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"pertama kali beli produk dari omg, aku kira harga murah kualitas biasa aja, ternyata salah!! sumpah lipmatte ini ringan, menutupi warna gelap di bibir dan longlasting warna shade nya cantik-cantik dan enggak ada yang gagal , wajib mencoba deh",review_00037
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"Coba beli lipcream OMG lagi karena katanya sudah reformulasi. Tapi shade berry ini, terlalu gelap buatku. Aku kurang suka sama warnanya. Aplikatornya juga agak kurang. Lipcream masih agak sedikit kering di bibir dan bikin garis-garis bibir keliatan. Repurchase? No.",review_00038
